title,text,label
"Government Announces Free Electricity for All Citizens","The government has announced that every citizen will receive free electricity for life starting next month.",FAKE
"Scientists Discover Cure for Common Cold","Researchers claim to have found a permanent cure for the common cold after a single trial.",FAKE
"India Wins Cricket Series Against Australia","India secured a series victory against Australia after winning the final match by 5 wickets.",REAL
"New Metro Line Opens in Mumbai","The new metro corridor was inaugurated and is expected to reduce travel time significantly.",REAL
"Moon Made of Cheese, Claims Expert","A self-proclaimed expert stated that the moon is primarily composed of cheese.",FAKE
"Reserve Bank Keeps Interest Rates Unchanged","The central bank announced that interest rates will remain unchanged this quarter.",REAL
"Drinking Coffee Doubles Human Lifespan","A viral social media post claims that drinking two cups of coffee daily doubles lifespan.",FAKE
"State Government Launches Scholarship Program","A new scholarship scheme has been introduced for students from low-income families.",REAL
"Aliens Elected as City Mayor","Reports suggest that extraterrestrials secretly participated in local elections.",FAKE
"Heavy Rainfall Expected This Weekend","The meteorological department has forecast heavy rainfall in several districts.",REAL